resp,S1,S2,S3
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,35,40
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,60
0,5,35,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,35,40
0,10,35,45
0,10,35,50
0,10,35,55
0,10,35,60
1,10,35,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
1,35,40,45
0,35,40,50
1,35,40,55
1,35,40,60
1,35,40,65
0,35,45,50
1,35,45,55
1,35,45,60
1,35,45,65
0,35,50,55
0,35,50,60
0,35,50,65
0,35,55,60
0,35,55,65
0,35,60,65
0,40,45,50
1,40,45,55
1,40,45,60
1,40,45,65
0,40,50,55
0,40,50,60
1,40,50,65
0,40,55,60
0,40,55,65
0,40,60,65
1,45,50,55
0,45,50,60
0,45,50,65
1,45,55,60
0,45,55,65
0,45,60,65
0,50,55,60
1,50,55,65
0,50,60,65
0,55,60,65
0,0,5,10
1,0,5,35
1,0,5,40
1,0,5,45
1,0,5,50
1,0,5,55
1,0,5,60
1,0,5,65
0,0,10,35
0,0,10,40
0,0,10,45
1,0,10,50
0,0,10,55
1,0,10,60
1,0,10,65
0,0,35,40
0,0,35,45
0,0,35,50
0,0,35,55
0,0,35,60
0,0,35,65
0,0,40,45
0,0,40,50
0,0,40,55
0,0,40,60
0,0,40,65
0,0,45,50
0,0,45,55
0,0,45,60
0,0,45,65
0,0,50,55
0,0,50,60
0,0,50,65
0,0,55,60
0,0,55,65
0,0,60,65
1,5,10,35
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,35,40
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,60
0,5,35,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,35,40
0,10,35,45
0,10,35,50
0,10,35,55
0,10,35,60
0,10,35,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
0,35,40,45
1,35,40,50
1,35,40,55
1,35,40,60
1,35,40,65
1,35,45,50
0,35,45,55
1,35,45,60
1,35,45,65
0,35,50,55
0,35,50,60
0,35,50,65
0,35,55,60
0,35,55,65
0,35,60,65
0,40,45,50
1,40,45,55
1,40,45,60
1,40,45,65
1,40,50,55
0,40,50,60
1,40,50,65
0,40,55,60
0,40,55,65
0,40,60,65
0,45,50,55
1,45,50,60
0,45,50,65
0,45,55,60
0,45,55,65
0,45,60,65
0,50,55,60
0,50,55,65
0,50,60,65
0,55,60,65
0,0,5,10
1,0,5,35
1,0,5,40
1,0,5,45
1,0,5,50
1,0,5,55
1,0,5,60
1,0,5,65
0,0,10,35
0,0,10,40
0,0,10,45
1,0,10,50
1,0,10,55
1,0,10,60
1,0,10,65
0,0,35,40
0,0,35,45
0,0,35,50
0,0,35,55
0,0,35,60
0,0,35,65
0,0,40,45
0,0,40,50
0,0,40,55
0,0,40,60
0,0,40,65
0,0,45,50
0,0,45,55
0,0,45,60
0,0,45,65
0,0,50,55
0,0,50,60
0,0,50,65
0,0,55,60
0,0,55,65
0,0,60,65
1,5,10,35
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,35,40
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,60
0,5,35,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,35,40
0,10,35,45
0,10,35,50
0,10,35,55
0,10,35,60
0,10,35,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
1,35,40,45
0,35,40,50
1,35,40,55
1,35,40,60
0,35,40,65
0,35,45,50
1,35,45,55
1,35,45,60
1,35,45,65
0,35,50,55
0,35,50,60
0,35,50,65
0,35,55,60
0,35,55,65
0,35,60,65
0,40,45,50
0,40,45,55
1,40,45,60
0,40,45,65
0,40,50,55
0,40,50,60
1,40,50,65
0,40,55,60
1,40,55,65
0,40,60,65
1,45,50,55
1,45,50,60
1,45,50,65
0,45,55,60
1,45,55,65
0,45,60,65
0,50,55,60
1,50,55,65
0,50,60,65
0,55,60,65
0,0,5,10
1,0,5,35
1,0,5,40
1,0,5,45
1,0,5,50
1,0,5,55
1,0,5,60
1,0,5,65
0,0,10,35
0,0,10,40
1,0,10,45
0,0,10,50
1,0,10,55
1,0,10,60
1,0,10,65
0,0,35,40
0,0,35,45
0,0,35,50
0,0,35,55
0,0,35,60
0,0,35,65
0,0,40,45
0,0,40,50
0,0,40,55
0,0,40,60
0,0,40,65
0,0,45,50
0,0,45,55
0,0,45,60
0,0,45,65
0,0,50,55
0,0,50,60
0,0,50,65
0,0,55,60
0,0,55,65
0,0,60,65
1,5,10,35
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,35,40
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,60
0,5,35,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,35,40
0,10,35,45
0,10,35,50
0,10,35,55
0,10,35,60
1,10,35,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
0,35,40,45
1,35,40,50
1,35,40,55
0,35,40,60
1,35,40,65
0,35,45,50
1,35,45,55
1,35,45,60
1,35,45,65
0,35,50,55
1,35,50,60
0,35,50,65
0,35,55,60
0,35,55,65
0,35,60,65
0,40,45,50
1,40,45,55
1,40,45,60
1,40,45,65
0,40,50,55
1,40,50,60
0,40,50,65
0,40,55,60
0,40,55,65
0,40,60,65
0,45,50,55
1,45,50,60
0,45,50,65
0,45,55,60
0,45,55,65
0,45,60,65
1,50,55,60
0,50,55,65
0,50,60,65
1,55,60,65
0,0,5,10
1,0,5,35
1,0,5,40
1,0,5,45
1,0,5,50
1,0,5,55
1,0,5,60
1,0,5,65
1,0,10,35
0,0,10,40
0,0,10,45
1,0,10,50
0,0,10,55
1,0,10,60
0,0,10,65
0,0,35,40
0,0,35,45
0,0,35,50
0,0,35,55
0,0,35,60
0,0,35,65
0,0,40,45
0,0,40,50
0,0,40,55
0,0,40,60
0,0,40,65
0,0,45,50
0,0,45,55
0,0,45,60
0,0,45,65
0,0,50,55
0,0,50,60
0,0,50,65
0,0,55,60
0,0,55,65
0,0,60,65
1,5,10,35
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,35,40
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,60
0,5,35,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,35,40
0,10,35,45
0,10,35,50
0,10,35,55
0,10,35,60
1,10,35,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
1,35,40,45
1,35,40,50
1,35,40,55
1,35,40,60
1,35,40,65
1,35,45,50
0,35,45,55
1,35,45,60
1,35,45,65
0,35,50,55
0,35,50,60
1,35,50,65
0,35,55,60
0,35,55,65
0,35,60,65
0,40,45,50
1,40,45,55
1,40,45,60
1,40,45,65
1,40,50,55
0,40,50,60
1,40,50,65
0,40,55,60
0,40,55,65
0,40,60,65
0,45,50,55
1,45,50,60
1,45,50,65
0,45,55,60
0,45,55,65
0,45,60,65
1,50,55,60
0,50,55,65
0,50,60,65
0,55,60,65
0,0,5,10
1,0,5,35
1,0,5,40
1,0,5,45
1,0,5,50
1,0,5,55
1,0,5,60
1,0,5,65
0,0,10,35
1,0,10,40
0,0,10,45
1,0,10,50
1,0,10,55
1,0,10,60
1,0,10,65
0,0,35,40
0,0,35,45
0,0,35,50
0,0,35,55
0,0,35,60
0,0,35,65
0,0,40,45
0,0,40,50
0,0,40,55
0,0,40,60
0,0,40,65
0,0,45,50
0,0,45,55
0,0,45,60
0,0,45,65
0,0,50,55
0,0,50,60
0,0,50,65
0,0,55,60
0,0,55,65
0,0,60,65
1,5,10,35
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,35,40
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,60
0,5,35,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,35,40
0,10,35,45
0,10,35,50
0,10,35,55
0,10,35,60
0,10,35,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
0,35,40,45
0,35,40,50
1,35,40,55
1,35,40,60
1,35,40,65
0,35,45,50
1,35,45,55
1,35,45,60
1,35,45,65
0,35,50,55
0,35,50,60
1,35,50,65
0,35,55,60
0,35,55,65
0,35,60,65
1,40,45,50
1,40,45,55
1,40,45,60
1,40,45,65
0,40,50,55
0,40,50,60
0,40,50,65
0,40,55,60
1,40,55,65
0,40,60,65
0,45,50,55
1,45,50,60
1,45,50,65
0,45,55,60
0,45,55,65
0,45,60,65
1,50,55,60
0,50,55,65
1,50,60,65
1,55,60,65
0,0,5,10
1,0,5,35
1,0,5,40
1,0,5,45
1,0,5,50
1,0,5,55
1,0,5,60
1,0,5,65
0,0,10,35
1,0,10,40
0,0,10,45
1,0,10,50
0,0,10,55
1,0,10,60
1,0,10,65
0,0,35,40
0,0,35,45
0,0,35,50
0,0,35,55
0,0,35,60
0,0,35,65
0,0,40,45
0,0,40,50
0,0,40,55
0,0,40,60
0,0,40,65
0,0,45,50
0,0,45,55
0,0,45,60
0,0,45,65
0,0,50,55
0,0,50,60
0,0,50,65
0,0,55,60
0,0,55,65
0,0,60,65
1,5,10,35
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,35,40
0,5,35,45
0,5,35,50
0,5,35,55
0,5,35,60
1,5,35,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,35,40
0,10,35,45
1,10,35,50
0,10,35,55
0,10,35,60
0,10,35,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
1,35,40,45
1,35,40,50
1,35,40,55
1,35,40,60
1,35,40,65
0,35,45,50
0,35,45,55
0,35,45,60
0,35,45,65
1,35,50,55
0,35,50,60
1,35,50,65
0,35,55,60
0,35,55,65
0,35,60,65
1,40,45,50
0,40,45,55
1,40,45,60
1,40,45,65
1,40,50,55
0,40,50,60
1,40,50,65
1,40,55,60
0,40,55,65
0,40,60,65
1,45,50,55
1,45,50,60
0,45,50,65
1,45,55,60
0,45,55,65
1,45,60,65
1,50,55,60
1,50,55,65
0,50,60,65
1,55,60,65
