resp,S1,S2,S3
0,5,18,21
0,5,18,22
0,5,18,25
1,5,18,40
1,5,18,65
0,5,19,20
0,5,19,21
0,5,19,22
0,5,19,25
1,5,19,40
1,5,19,65
0,5,20,21
0,5,20,22
0,5,20,25
0,5,20,40
1,5,20,65
1,5,21,22
0,5,21,25
1,5,21,40
1,5,21,65
0,5,22,25
0,5,22,40
0,5,22,65
0,5,25,40
1,5,25,65
0,5,40,65
0,18,19,20
0,18,19,21
0,18,19,22
0,18,19,25
1,18,19,40
1,18,19,65
0,18,20,21
0,18,20,22
0,18,20,25
1,18,20,40
1,18,20,65
0,18,21,22
1,18,21,25
1,18,21,40
1,18,21,65
0,18,22,25
1,18,22,40
1,18,22,65
0,18,25,40
1,18,25,65
1,18,40,65
0,19,20,21
0,19,20,22
1,19,20,25
1,19,20,40
1,19,20,65
0,19,21,22
0,19,21,25
1,19,21,40
1,19,21,65
0,19,22,25
1,19,22,40
1,19,22,65
0,19,25,40
1,19,25,65
0,19,40,65
1,20,21,22
0,20,21,25
1,20,21,40
1,20,21,65
1,20,22,25
1,20,22,40
1,20,22,65
1,20,25,40
1,20,25,65
0,20,40,65
0,21,22,25
1,21,22,40
1,21,22,65
1,21,25,40
1,21,25,65
1,21,40,65
0,22,25,40
1,22,25,65
1,22,40,65
1,25,40,65
1,1,5,18
1,1,5,19
1,1,5,20
1,1,5,21
1,1,5,22
1,1,5,25
1,1,5,40
1,1,5,65
0,1,18,19
0,1,18,20
0,1,18,21
0,1,18,22
0,1,18,25
0,1,18,40
0,1,18,65
0,1,19,20
0,1,19,21
0,1,19,22
0,1,19,25
0,1,19,40
1,1,19,65
0,1,20,21
0,1,20,22
0,1,20,25
0,1,20,40
1,1,20,65
0,1,21,22
0,1,21,25
0,1,21,40
0,1,21,65
0,1,22,25
0,1,22,40
0,1,22,65
0,1,25,40
0,1,25,65
0,1,40,65
0,5,18,19
0,5,18,20
1,5,18,21
0,5,18,22
0,5,18,25
1,5,18,40
1,5,18,65
0,5,19,20
0,5,19,21
0,5,19,22
0,5,19,25
0,5,19,40
1,5,19,65
0,5,20,21
0,5,20,22
0,5,20,25
1,5,20,40
1,5,20,65
0,5,21,22
0,5,21,25
0,5,21,40
1,5,21,65
0,5,22,25
0,5,22,40
0,5,22,65
0,5,25,40
1,5,25,65
0,5,40,65
0,18,19,20
0,18,19,21
1,18,19,22
0,18,19,25
1,18,19,40
1,18,19,65
0,18,20,21
1,18,20,22
0,18,20,25
1,18,20,40
1,18,20,65
1,18,21,22
0,18,21,25
1,18,21,40
1,18,21,65
1,18,22,25
0,18,22,40
1,18,22,65
1,18,25,40
1,18,25,65
0,18,40,65
1,19,20,21
0,19,20,22
1,19,20,25
1,19,20,40
1,19,20,65
1,19,21,22
1,19,21,25
1,19,21,40
1,19,21,65
0,19,22,25
1,19,22,40
1,19,22,65
0,19,25,40
1,19,25,65
0,19,40,65
1,20,21,22
0,20,21,25
1,20,21,40
1,20,21,65
1,20,22,25
1,20,22,40
1,20,22,65
1,20,25,40
1,20,25,65
1,20,40,65
0,21,22,25
1,21,22,40
1,21,22,65
1,21,25,40
1,21,25,65
1,21,40,65
1,22,25,40
1,22,25,65
0,22,40,65
1,25,40,65
1,1,5,18
1,1,5,19
1,1,5,20
1,1,5,21
1,1,5,22
0,1,5,25
1,1,5,40
1,1,5,65
0,1,18,19
0,1,18,20
0,1,18,21
0,1,18,22
0,1,18,25
1,1,18,40
0,1,18,65
0,1,19,20
0,1,19,21
0,1,19,22
0,1,19,25
0,1,19,40
1,1,19,65
0,1,20,21
0,1,20,22
0,1,20,25
0,1,20,40
0,1,20,65
0,1,21,22
0,1,21,25
0,1,21,40
0,1,21,65
0,1,22,25
0,1,22,40
0,1,22,65
0,1,25,40
0,1,25,65
0,1,40,65
0,5,18,19
0,5,18,20
0,5,18,21
0,5,18,22
0,5,18,25
0,5,18,40
1,5,18,65
0,5,19,20
0,5,19,21
0,5,19,22
0,5,19,25
0,5,19,40
1,5,19,65
0,5,20,21
0,5,20,22
0,5,20,25
0,5,20,40
1,5,20,65
0,5,21,22
0,5,21,25
0,5,21,40
0,5,21,65
0,5,22,25
0,5,22,40
1,5,22,65
0,5,25,40
0,5,25,65
0,5,40,65
0,18,19,20
1,18,19,21
1,18,19,22
1,18,19,25
1,18,19,40
1,18,19,65
0,18,20,21
0,18,20,22
1,18,20,25
1,18,20,40
1,18,20,65
0,18,21,22
0,18,21,25
1,18,21,40
1,18,21,65
0,18,22,25
1,18,22,40
1,18,22,65
1,18,25,40
1,18,25,65
0,18,40,65
1,19,20,21
1,19,20,22
1,19,20,25
1,19,20,40
1,19,20,65
0,19,21,22
1,19,21,25
0,19,21,40
1,19,21,65
0,19,22,25
1,19,22,40
1,19,22,65
1,19,25,40
1,19,25,65
0,19,40,65
0,20,21,22
0,20,21,25
0,20,21,40
1,20,21,65
1,20,22,25
1,20,22,40
1,20,22,65
1,20,25,40
1,20,25,65
0,20,40,65
1,21,22,25
1,21,22,40
1,21,22,65
1,21,25,40
1,21,25,65
1,21,40,65
1,22,25,40
1,22,25,65
0,22,40,65
1,25,40,65
1,1,5,18
1,1,5,19
0,1,5,20
1,1,5,21
1,1,5,22
0,1,5,25
1,1,5,40
1,1,5,65
0,1,18,19
0,1,18,20
0,1,18,21
0,1,18,22
0,1,18,25
0,1,18,40
0,1,18,65
0,1,19,20
0,1,19,21
0,1,19,22
0,1,19,25
0,1,19,40
1,1,19,65
0,1,20,21
0,1,20,22
0,1,20,25
0,1,20,40
1,1,20,65
0,1,21,22
0,1,21,25
0,1,21,40
0,1,21,65
0,1,22,25
0,1,22,40
0,1,22,65
0,1,25,40
0,1,25,65
0,1,40,65
0,5,18,19
0,5,18,20
0,5,18,21
0,5,18,22
0,5,18,25
1,5,18,40
1,5,18,65
0,5,19,20
0,5,19,21
0,5,19,22
0,5,19,25
1,5,19,40
1,5,19,65
0,5,20,21
0,5,20,22
0,5,20,25
0,5,20,40
1,5,20,65
0,5,21,22
0,5,21,25
0,5,21,40
0,5,21,65
0,5,22,25
1,5,22,40
0,5,22,65
0,5,25,40
1,5,25,65
0,5,40,65
0,18,19,20
0,18,19,21
1,18,19,22
1,18,19,25
1,18,19,40
1,18,19,65
1,18,20,21
1,18,20,22
1,18,20,25
1,18,20,40
1,18,20,65
1,18,21,22
0,18,21,25
1,18,21,40
1,18,21,65
0,18,22,25
0,18,22,40
1,18,22,65
1,18,25,40
1,18,25,65
0,18,40,65
1,19,20,21
0,19,20,22
1,19,20,25
1,19,20,40
1,19,20,65
0,19,21,22
0,19,21,25
1,19,21,40
1,19,21,65
0,19,22,25
0,19,22,40
1,19,22,65
1,19,25,40
1,19,25,65
1,19,40,65
1,20,21,22
0,20,21,25
1,20,21,40
1,20,21,65
0,20,22,25
1,20,22,40
1,20,22,65
1,20,25,40
1,20,25,65
0,20,40,65
1,21,22,25
1,21,22,40
1,21,22,65
1,21,25,40
1,21,25,65
0,21,40,65
1,22,25,40
1,22,25,65
0,22,40,65
0,25,40,65
0,1,5,18
1,1,5,19
1,1,5,20
1,1,5,21
1,1,5,22
1,1,5,25
1,1,5,40
1,1,5,65
0,1,18,19
0,1,18,20
0,1,18,21
0,1,18,22
0,1,18,25
0,1,18,40
1,1,18,65
0,1,19,20
0,1,19,21
0,1,19,22
0,1,19,25
0,1,19,40
0,1,19,65
0,1,20,21
0,1,20,22
0,1,20,25
0,1,20,40
1,1,20,65
0,1,21,22
0,1,21,25
0,1,21,40
0,1,21,65
0,1,22,25
0,1,22,40
0,1,22,65
0,1,25,40
0,1,25,65
0,1,40,65
0,5,18,19
0,5,18,20
0,5,18,21
0,5,18,22
0,5,18,25
1,5,18,40
1,5,18,65
0,5,19,20
0,5,19,21
0,5,19,22
0,5,19,25
1,5,19,40
1,5,19,65
0,5,20,21
0,5,20,22
0,5,20,25
0,5,20,40
1,5,20,65
0,5,21,22
0,5,21,25
1,5,21,40
1,5,21,65
0,5,22,25
0,5,22,40
1,5,22,65
0,5,25,40
1,5,25,65
0,5,40,65
1,18,19,20
1,18,19,21
1,18,19,22
0,18,19,25
1,18,19,40
1,18,19,65
0,18,20,21
1,18,20,22
1,18,20,25
0,18,20,40
1,18,20,65
0,18,21,22
1,18,21,25
1,18,21,40
1,18,21,65
1,18,22,25
1,18,22,40
1,18,22,65
1,18,25,40
1,18,25,65
0,18,40,65
0,19,20,21
1,19,20,22
1,19,20,25
1,19,20,40
1,19,20,65
1,19,21,22
1,19,21,25
1,19,21,40
1,19,21,65
1,19,22,25
1,19,22,40
1,19,22,65
1,19,25,40
1,19,25,65
0,19,40,65
0,20,21,22
0,20,21,25
1,20,21,40
1,20,21,65
1,20,22,25
1,20,22,40
1,20,22,65
1,20,25,40
1,20,25,65
0,20,40,65
1,21,22,25
1,21,22,40
1,21,22,65
1,21,25,40
1,21,25,65
1,21,40,65
1,22,25,40
1,22,25,65
1,22,40,65
1,25,40,65
1,1,5,18
1,1,5,19
1,1,5,20
1,1,5,21
1,1,5,22
1,1,5,25
1,1,5,40
1,1,5,65
0,1,18,19
0,1,18,20
0,1,18,21
0,1,18,22
0,1,18,25
0,1,18,40
0,1,18,65
0,1,19,20
0,1,19,21
0,1,19,22
0,1,19,25
0,1,19,40
0,1,19,65
0,1,20,21
0,1,20,22
0,1,20,25
0,1,20,40
1,1,20,65
0,1,21,22
0,1,21,25
0,1,21,40
0,1,21,65
0,1,22,25
0,1,22,40
0,1,22,65
0,1,25,40
0,1,25,65
0,1,40,65
0,5,18,19
0,5,18,20
0,5,18,21
0,5,18,22
0,5,18,25
0,5,18,40
1,5,18,65
0,5,19,20
0,5,19,21
0,5,19,22
0,5,19,25
0,5,19,40
1,5,19,65
0,5,20,21
0,5,20,22
0,5,20,25
1,5,20,40
1,5,20,65
0,5,21,22
0,5,21,25
0,5,21,40
1,5,21,65
0,5,22,25
0,5,22,40
0,5,22,65
0,5,25,40
1,5,25,65
0,5,40,65
0,18,19,20
1,18,19,21
1,18,19,22
1,18,19,25
1,18,19,40
1,18,19,65
0,18,20,21
0,18,20,22
1,18,20,25
1,18,20,40
1,18,20,65
1,18,21,22
1,18,21,25
1,18,21,40
1,18,21,65
0,18,22,25
1,18,22,40
1,18,22,65
1,18,25,40
1,18,25,65
0,18,40,65
1,19,20,21
0,19,20,22
1,19,20,25
1,19,20,40
1,19,20,65
0,19,21,22
0,19,21,25
1,19,21,40
1,19,21,65
1,19,22,25
1,19,22,40
1,19,22,65
0,19,25,40
1,19,25,65
0,19,40,65
1,20,21,22
1,20,21,25
1,20,21,40
1,20,21,65
1,20,22,25
1,20,22,40
1,20,22,65
1,20,25,40
1,20,25,65
1,20,40,65
1,21,22,25
1,21,22,40
1,21,22,65
1,21,25,40
1,21,25,65
0,21,40,65
1,22,25,40
1,22,25,65
0,22,40,65
1,25,40,65
0,1,5,18
1,1,5,19
1,1,5,20
1,1,5,21
1,1,5,22
0,1,5,25
1,1,5,40
1,1,5,65
0,1,18,19
0,1,18,20
0,1,18,21
0,1,18,22
0,1,18,25
0,1,18,40
1,1,18,65
0,1,19,20
0,1,19,21
0,1,19,22
0,1,19,25
0,1,19,40
0,1,19,65
0,1,20,21
0,1,20,22
0,1,20,25
0,1,20,40
0,1,20,65
0,1,21,22
0,1,21,25
0,1,21,40
0,1,21,65
0,1,22,25
0,1,22,40
0,1,22,65
0,1,25,40
0,1,25,65
0,1,40,65
0,5,18,19
0,5,18,20
0,5,18,21
0,5,18,22
0,5,18,25
1,5,18,40
1,5,18,65
0,5,19,20
0,5,19,21
0,5,19,22
0,5,19,25
1,5,19,40
1,5,19,65
0,5,20,21
0,5,20,22
0,5,20,25
0,5,20,40
1,5,20,65
0,5,21,22
0,5,21,25
0,5,21,40
1,5,21,65
0,5,22,25
0,5,22,40
1,5,22,65
0,5,25,40
1,5,25,65
0,5,40,65
0,18,19,20
0,18,19,21
1,18,19,22
0,18,19,25
1,18,19,40
1,18,19,65
0,18,20,21
0,18,20,22
0,18,20,25
1,18,20,40
1,18,20,65
0,18,21,22
1,18,21,25
1,18,21,40
1,18,21,65
1,18,22,25
1,18,22,40
1,18,22,65
1,18,25,40
1,18,25,65
0,18,40,65
0,19,20,21
0,19,20,22
1,19,20,25
1,19,20,40
1,19,20,65
0,19,21,22
0,19,21,25
1,19,21,40
1,19,21,65
1,19,22,25
1,19,22,40
1,19,22,65
0,19,25,40
1,19,25,65
1,19,40,65
1,20,21,22
1,20,21,25
1,20,21,40
1,20,21,65
1,20,22,25
1,20,22,40
1,20,22,65
1,20,25,40
1,20,25,65
0,20,40,65
0,21,22,25
1,21,22,40
1,21,22,65
1,21,25,40
1,21,25,65
0,21,40,65
1,22,25,40
1,22,25,65
0,22,40,65
1,25,40,65
