resp,S1,S2,S3
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,30,40
0,5,30,45
0,5,30,50
0,5,30,55
0,5,30,60
0,5,30,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,30,40
0,10,30,45
0,10,30,50
0,10,30,55
0,10,30,60
0,10,30,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
0,30,40,45
0,30,40,50
0,30,40,55
0,30,40,60
0,30,40,65
0,30,45,50
1,30,45,55
0,30,45,60
0,30,45,65
0,30,50,55
0,30,50,60
0,30,50,65
0,30,55,60
0,30,55,65
0,30,60,65
0,40,45,50
0,40,45,55
0,40,45,60
0,40,45,65
1,40,50,55
1,40,50,60
1,40,50,65
0,40,55,60
1,40,55,65
1,40,60,65
1,45,50,55
0,45,50,60
0,45,50,65
0,45,55,60
0,45,55,65
0,45,60,65
0,50,55,60
1,50,55,65
0,50,60,65
0,55,60,65
0,1,5,10
1,1,5,30
1,1,5,40
1,1,5,45
1,1,5,50
1,1,5,55
1,1,5,60
1,1,5,65
1,1,10,30
1,1,10,40
1,1,10,45
1,1,10,50
1,1,10,55
1,1,10,60
1,1,10,65
0,1,30,40
0,1,30,45
0,1,30,50
0,1,30,55
0,1,30,60
0,1,30,65
0,1,40,45
0,1,40,50
0,1,40,55
0,1,40,60
0,1,40,65
0,1,45,50
0,1,45,55
0,1,45,60
0,1,45,65
0,1,50,55
0,1,50,60
0,1,50,65
0,1,55,60
0,1,55,65
0,1,60,65
1,5,10,30
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,30,40
0,5,30,45
0,5,30,50
0,5,30,55
0,5,30,60
0,5,30,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,30,40
0,10,30,45
0,10,30,50
0,10,30,55
0,10,30,60
0,10,30,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
0,30,40,45
0,30,40,50
0,30,40,55
0,30,40,60
1,30,40,65
0,30,45,50
0,30,45,55
0,30,45,60
0,30,45,65
0,30,50,55
0,30,50,60
0,30,50,65
0,30,55,60
0,30,55,65
0,30,60,65
1,40,45,50
0,40,45,55
1,40,45,60
0,40,45,65
0,40,50,55
1,40,50,60
1,40,50,65
0,40,55,60
1,40,55,65
1,40,60,65
1,45,50,55
1,45,50,60
0,45,50,65
1,45,55,60
1,45,55,65
0,45,60,65
0,50,55,60
0,50,55,65
1,50,60,65
0,55,60,65
1,1,5,10
1,1,5,30
1,1,5,40
1,1,5,45
1,1,5,50
1,1,5,55
1,1,5,60
1,1,5,65
1,1,10,30
1,1,10,40
1,1,10,45
1,1,10,50
1,1,10,55
1,1,10,60
1,1,10,65
0,1,30,40
0,1,30,45
0,1,30,50
0,1,30,55
0,1,30,60
0,1,30,65
0,1,40,45
0,1,40,50
0,1,40,55
0,1,40,60
0,1,40,65
0,1,45,50
0,1,45,55
0,1,45,60
0,1,45,65
0,1,50,55
0,1,50,60
0,1,50,65
0,1,55,60
0,1,55,65
0,1,60,65
1,5,10,30
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,30,40
0,5,30,45
0,5,30,50
0,5,30,55
0,5,30,60
0,5,30,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,30,40
0,10,30,45
0,10,30,50
0,10,30,55
0,10,30,60
0,10,30,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
1,30,40,45
0,30,40,50
1,30,40,55
1,30,40,60
1,30,40,65
0,30,45,50
0,30,45,55
1,30,45,60
0,30,45,65
0,30,50,55
0,30,50,60
0,30,50,65
0,30,55,60
0,30,55,65
0,30,60,65
1,40,45,50
1,40,45,55
0,40,45,60
1,40,45,65
1,40,50,55
1,40,50,60
0,40,50,65
0,40,55,60
1,40,55,65
0,40,60,65
1,45,50,55
1,45,50,60
1,45,50,65
0,45,55,60
1,45,55,65
0,45,60,65
1,50,55,60
1,50,55,65
1,50,60,65
0,55,60,65
1,1,5,10
1,1,5,30
1,1,5,40
1,1,5,45
1,1,5,50
1,1,5,55
1,1,5,60
1,1,5,65
1,1,10,30
1,1,10,40
1,1,10,45
1,1,10,50
1,1,10,55
1,1,10,60
1,1,10,65
0,1,30,40
0,1,30,45
0,1,30,50
0,1,30,55
0,1,30,60
0,1,30,65
0,1,40,45
0,1,40,50
0,1,40,55
0,1,40,60
0,1,40,65
0,1,45,50
0,1,45,55
0,1,45,60
0,1,45,65
0,1,50,55
0,1,50,60
0,1,50,65
0,1,55,60
0,1,55,65
0,1,60,65
1,5,10,30
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,30,40
0,5,30,45
0,5,30,50
0,5,30,55
0,5,30,60
0,5,30,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,30,40
0,10,30,45
0,10,30,50
0,10,30,55
0,10,30,60
0,10,30,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
0,30,40,45
1,30,40,50
0,30,40,55
1,30,40,60
0,30,40,65
0,30,45,50
0,30,45,55
0,30,45,60
0,30,45,65
1,30,50,55
1,30,50,60
0,30,50,65
0,30,55,60
0,30,55,65
0,30,60,65
1,40,45,50
0,40,45,55
1,40,45,60
1,40,45,65
0,40,50,55
0,40,50,60
1,40,50,65
1,40,55,60
0,40,55,65
0,40,60,65
0,45,50,55
0,45,50,60
0,45,50,65
0,45,55,60
1,45,55,65
0,45,60,65
1,50,55,60
1,50,55,65
1,50,60,65
1,55,60,65
1,1,5,10
1,1,5,30
1,1,5,40
1,1,5,45
1,1,5,50
1,1,5,55
1,1,5,60
1,1,5,65
1,1,10,30
1,1,10,40
1,1,10,45
1,1,10,50
1,1,10,55
1,1,10,60
1,1,10,65
0,1,30,40
0,1,30,45
0,1,30,50
0,1,30,55
0,1,30,60
0,1,30,65
0,1,40,45
0,1,40,50
0,1,40,55
0,1,40,60
0,1,40,65
0,1,45,50
0,1,45,55
0,1,45,60
0,1,45,65
0,1,50,55
0,1,50,60
0,1,50,65
0,1,55,60
0,1,55,65
0,1,60,65
1,5,10,30
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,30,40
0,5,30,45
0,5,30,50
0,5,30,55
0,5,30,60
0,5,30,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,30,40
0,10,30,45
0,10,30,50
0,10,30,55
0,10,30,60
0,10,30,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
1,30,40,45
0,30,40,50
0,30,40,55
1,30,40,60
0,30,40,65
1,30,45,50
1,30,45,55
0,30,45,60
0,30,45,65
0,30,50,55
0,30,50,60
1,30,50,65
0,30,55,60
0,30,55,65
0,30,60,65
0,40,45,50
0,40,45,55
1,40,45,60
1,40,45,65
0,40,50,55
0,40,50,60
1,40,50,65
0,40,55,60
1,40,55,65
0,40,60,65
1,45,50,55
0,45,50,60
0,45,50,65
0,45,55,60
0,45,55,65
0,45,60,65
1,50,55,60
1,50,55,65
0,50,60,65
0,55,60,65
0,1,5,10
1,1,5,30
1,1,5,40
1,1,5,45
1,1,5,50
1,1,5,55
1,1,5,60
1,1,5,65
1,1,10,30
1,1,10,40
1,1,10,45
1,1,10,50
1,1,10,55
1,1,10,60
1,1,10,65
0,1,30,40
0,1,30,45
0,1,30,50
0,1,30,55
0,1,30,60
0,1,30,65
0,1,40,45
0,1,40,50
0,1,40,55
0,1,40,60
0,1,40,65
0,1,45,50
0,1,45,55
0,1,45,60
0,1,45,65
0,1,50,55
0,1,50,60
0,1,50,65
0,1,55,60
0,1,55,65
0,1,60,65
1,5,10,30
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,30,40
0,5,30,45
0,5,30,50
0,5,30,55
0,5,30,60
0,5,30,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,30,40
0,10,30,45
0,10,30,50
0,10,30,55
0,10,30,60
0,10,30,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
1,30,40,45
0,30,40,50
1,30,40,55
0,30,40,60
1,30,40,65
0,30,45,50
0,30,45,55
1,30,45,60
1,30,45,65
0,30,50,55
0,30,50,60
0,30,50,65
0,30,55,60
0,30,55,65
0,30,60,65
0,40,45,50
1,40,45,55
1,40,45,60
1,40,45,65
1,40,50,55
0,40,50,60
0,40,50,65
0,40,55,60
1,40,55,65
0,40,60,65
0,45,50,55
1,45,50,60
0,45,50,65
0,45,55,60
0,45,55,65
0,45,60,65
1,50,55,60
0,50,55,65
0,50,60,65
0,55,60,65
0,1,5,10
1,1,5,30
1,1,5,40
1,1,5,45
1,1,5,50
1,1,5,55
1,1,5,60
1,1,5,65
1,1,10,30
1,1,10,40
1,1,10,45
1,1,10,50
1,1,10,55
1,1,10,60
1,1,10,65
0,1,30,40
0,1,30,45
0,1,30,50
0,1,30,55
0,1,30,60
0,1,30,65
0,1,40,45
0,1,40,50
0,1,40,55
0,1,40,60
0,1,40,65
0,1,45,50
0,1,45,55
0,1,45,60
0,1,45,65
0,1,50,55
0,1,50,60
0,1,50,65
0,1,55,60
0,1,55,65
0,1,60,65
1,5,10,30
1,5,10,40
1,5,10,45
1,5,10,50
1,5,10,55
1,5,10,60
1,5,10,65
0,5,30,40
0,5,30,45
0,5,30,50
0,5,30,55
0,5,30,60
0,5,30,65
0,5,40,45
0,5,40,50
0,5,40,55
0,5,40,60
0,5,40,65
0,5,45,50
0,5,45,55
0,5,45,60
0,5,45,65
0,5,50,55
0,5,50,60
0,5,50,65
0,5,55,60
0,5,55,65
0,5,60,65
0,10,30,40
0,10,30,45
0,10,30,50
0,10,30,55
0,10,30,60
0,10,30,65
0,10,40,45
0,10,40,50
0,10,40,55
0,10,40,60
0,10,40,65
0,10,45,50
0,10,45,55
0,10,45,60
0,10,45,65
0,10,50,55
0,10,50,60
0,10,50,65
0,10,55,60
0,10,55,65
0,10,60,65
0,30,40,45
1,30,40,50
0,30,40,55
0,30,40,60
0,30,40,65
0,30,45,50
0,30,45,55
0,30,45,60
0,30,45,65
0,30,50,55
0,30,50,60
0,30,50,65
0,30,55,60
0,30,55,65
0,30,60,65
0,40,45,50
0,40,45,55
0,40,45,60
1,40,45,65
0,40,50,55
0,40,50,60
1,40,50,65
1,40,55,60
0,40,55,65
0,40,60,65
0,45,50,55
1,45,50,60
0,45,50,65
1,45,55,60
0,45,55,65
0,45,60,65
1,50,55,60
1,50,55,65
1,50,60,65
0,55,60,65
