resp,S1,S2,S3
1,5,10,34
1,5,10,40
1,5,10,46
1,5,10,55
1,5,10,65
1,5,15,25
1,5,15,34
1,5,15,40
1,5,15,46
1,5,15,55
1,5,15,65
0,5,25,34
0,5,25,40
0,5,25,46
0,5,25,55
1,5,25,65
0,5,34,40
0,5,34,46
0,5,34,55
0,5,34,65
0,5,40,46
0,5,40,55
0,5,40,65
0,5,46,55
0,5,46,65
0,5,55,65
1,10,15,25
1,10,15,34
1,10,15,40
1,10,15,46
1,10,15,55
1,10,15,65
1,10,25,34
1,10,25,40
0,10,25,46
1,10,25,55
1,10,25,65
0,10,34,40
0,10,34,46
0,10,34,55
0,10,34,65
0,10,40,46
0,10,40,55
0,10,40,65
0,10,46,55
0,10,46,65
0,10,55,65
0,15,25,34
0,15,25,40
0,15,25,46
0,15,25,55
1,15,25,65
1,15,34,40
0,15,34,46
1,15,34,55
1,15,34,65
0,15,40,46
0,15,40,55
0,15,40,65
0,15,46,55
0,15,46,65
0,15,55,65
1,25,34,40
1,25,34,46
1,25,34,55
1,25,34,65
0,25,40,46
0,25,40,55
1,25,40,65
0,25,46,55
1,25,46,65
1,25,55,65
0,34,40,46
1,34,40,55
1,34,40,65
0,34,46,55
0,34,46,65
0,34,55,65
1,40,46,55
1,40,46,65
0,40,55,65
0,46,55,65
0,1,5,10
1,1,5,15
1,1,5,25
1,1,5,34
1,1,5,40
1,1,5,46
1,1,5,55
1,1,5,65
0,1,10,15
0,1,10,25
0,1,10,34
1,1,10,40
1,1,10,46
1,1,10,55
1,1,10,65
0,1,15,25
0,1,15,34
1,1,15,40
0,1,15,46
1,1,15,55
1,1,15,65
0,1,25,34
0,1,25,40
0,1,25,46
0,1,25,55
0,1,25,65
0,1,34,40
0,1,34,46
0,1,34,55
0,1,34,65
0,1,40,46
0,1,40,55
0,1,40,65
0,1,46,55
0,1,46,65
0,1,55,65
0,5,10,15
1,5,10,25
1,5,10,34
1,5,10,40
1,5,10,46
1,5,10,55
1,5,10,65
1,5,15,25
1,5,15,34
1,5,15,40
1,5,15,46
1,5,15,55
1,5,15,65
0,5,25,34
0,5,25,40
0,5,25,46
0,5,25,55
0,5,25,65
0,5,34,40
0,5,34,46
0,5,34,55
0,5,34,65
0,5,40,46
0,5,40,55
0,5,40,65
0,5,46,55
0,5,46,65
0,5,55,65
1,10,15,25
1,10,15,34
1,10,15,40
1,10,15,46
1,10,15,55
1,10,15,65
0,10,25,34
0,10,25,40
0,10,25,46
0,10,25,55
1,10,25,65
0,10,34,40
0,10,34,46
0,10,34,55
0,10,34,65
0,10,40,46
0,10,40,55
0,10,40,65
0,10,46,55
0,10,46,65
0,10,55,65
1,15,25,34
1,15,25,40
1,15,25,46
1,15,25,55
1,15,25,65
0,15,34,40
0,15,34,46
1,15,34,55
0,15,34,65
0,15,40,46
0,15,40,55
0,15,40,65
0,15,46,55
0,15,46,65
0,15,55,65
1,25,34,40
0,25,34,46
1,25,34,55
1,25,34,65
0,25,40,46
0,25,40,55
1,25,40,65
0,25,46,55
0,25,46,65
0,25,55,65
0,34,40,46
1,34,40,55
1,34,40,65
0,34,46,55
0,34,46,65
0,34,55,65
1,40,46,55
1,40,46,65
0,40,55,65
0,46,55,65
0,1,5,10
1,1,5,15
1,1,5,25
1,1,5,34
1,1,5,40
1,1,5,46
1,1,5,55
1,1,5,65
0,1,10,15
1,1,10,25
1,1,10,34
1,1,10,40
0,1,10,46
1,1,10,55
1,1,10,65
0,1,15,25
0,1,15,34
0,1,15,40
0,1,15,46
1,1,15,55
1,1,15,65
0,1,25,34
0,1,25,40
0,1,25,46
0,1,25,55
1,1,25,65
0,1,34,40
0,1,34,46
0,1,34,55
0,1,34,65
0,1,40,46
0,1,40,55
0,1,40,65
0,1,46,55
0,1,46,65
0,1,55,65
0,5,10,15
0,5,10,25
1,5,10,34
1,5,10,40
1,5,10,46
1,5,10,55
1,5,10,65
1,5,15,25
1,5,15,34
1,5,15,40
1,5,15,46
1,5,15,55
1,5,15,65
0,5,25,34
0,5,25,40
1,5,25,46
1,5,25,55
0,5,25,65
0,5,34,40
0,5,34,46
0,5,34,55
0,5,34,65
0,5,40,46
0,5,40,55
0,5,40,65
0,5,46,55
0,5,46,65
0,5,55,65
0,10,15,25
1,10,15,34
1,10,15,40
1,10,15,46
1,10,15,55
1,10,15,65
0,10,25,34
0,10,25,40
0,10,25,46
0,10,25,55
1,10,25,65
0,10,34,40
0,10,34,46
0,10,34,55
0,10,34,65
0,10,40,46
0,10,40,55
0,10,40,65
0,10,46,55
0,10,46,65
0,10,55,65
0,15,25,34
1,15,25,40
0,15,25,46
1,15,25,55
1,15,25,65
0,15,34,40
1,15,34,46
1,15,34,55
1,15,34,65
0,15,40,46
0,15,40,55
0,15,40,65
0,15,46,55
0,15,46,65
0,15,55,65
0,25,34,40
0,25,34,46
0,25,34,55
1,25,34,65
1,25,40,46
1,25,40,55
0,25,40,65
0,25,46,55
1,25,46,65
0,25,55,65
0,34,40,46
1,34,40,55
1,34,40,65
1,34,46,55
1,34,46,65
0,34,55,65
1,40,46,55
1,40,46,65
0,40,55,65
0,46,55,65
0,1,5,10
1,1,5,15
1,1,5,25
1,1,5,34
1,1,5,40
1,1,5,46
1,1,5,55
1,1,5,65
0,1,10,15
0,1,10,25
1,1,10,34
1,1,10,40
0,1,10,46
1,1,10,55
1,1,10,65
0,1,15,25
0,1,15,34
0,1,15,40
0,1,15,46
1,1,15,55
1,1,15,65
0,1,25,34
0,1,25,40
0,1,25,46
0,1,25,55
0,1,25,65
0,1,34,40
0,1,34,46
0,1,34,55
0,1,34,65
0,1,40,46
0,1,40,55
0,1,40,65
0,1,46,55
0,1,46,65
0,1,55,65
1,5,10,15
1,5,10,25
1,5,10,34
1,5,10,40
1,5,10,46
1,5,10,55
1,5,10,65
0,5,15,25
0,5,15,34
1,5,15,40
1,5,15,46
1,5,15,55
1,5,15,65
0,5,25,34
0,5,25,40
0,5,25,46
0,5,25,55
1,5,25,65
0,5,34,40
0,5,34,46
0,5,34,55
0,5,34,65
0,5,40,46
0,5,40,55
0,5,40,65
0,5,46,55
0,5,46,65
0,5,55,65
1,10,15,25
1,10,15,34
1,10,15,40
1,10,15,46
1,10,15,55
1,10,15,65
0,10,25,34
0,10,25,40
1,10,25,46
1,10,25,55
1,10,25,65
0,10,34,40
0,10,34,46
0,10,34,55
0,10,34,65
0,10,40,46
1,10,40,55
0,10,40,65
0,10,46,55
0,10,46,65
0,10,55,65
0,15,25,34
1,15,25,40
1,15,25,46
1,15,25,55
1,15,25,65
0,15,34,40
0,15,34,46
1,15,34,55
0,15,34,65
0,15,40,46
0,15,40,55
0,15,40,65
0,15,46,55
0,15,46,65
0,15,55,65
1,25,34,40
1,25,34,46
1,25,34,55
0,25,34,65
0,25,40,46
1,25,40,55
0,25,40,65
0,25,46,55
1,25,46,65
0,25,55,65
0,34,40,46
1,34,40,55
1,34,40,65
1,34,46,55
0,34,46,65
0,34,55,65
0,40,46,55
1,40,46,65
0,40,55,65
0,46,55,65
0,1,5,10
1,1,5,15
1,1,5,25
1,1,5,34
1,1,5,40
1,1,5,46
1,1,5,55
1,1,5,65
0,1,10,15
0,1,10,25
0,1,10,34
1,1,10,40
1,1,10,46
1,1,10,55
1,1,10,65
0,1,15,25
0,1,15,34
0,1,15,40
1,1,15,46
1,1,15,55
1,1,15,65
0,1,25,34
0,1,25,40
0,1,25,46
0,1,25,55
0,1,25,65
0,1,34,40
0,1,34,46
0,1,34,55
0,1,34,65
0,1,40,46
0,1,40,55
0,1,40,65
0,1,46,55
0,1,46,65
0,1,55,65
1,5,10,15
1,5,10,25
1,5,10,34
1,5,10,40
1,5,10,46
1,5,10,55
1,5,10,65
0,5,15,25
0,5,15,34
1,5,15,40
1,5,15,46
1,5,15,55
1,5,15,65
0,5,25,34
0,5,25,40
0,5,25,46
1,5,25,55
1,5,25,65
0,5,34,40
0,5,34,46
0,5,34,55
0,5,34,65
0,5,40,46
0,5,40,55
0,5,40,65
0,5,46,55
0,5,46,65
0,5,55,65
1,10,15,25
1,10,15,34
1,10,15,40
1,10,15,46
1,10,15,55
1,10,15,65
0,10,25,34
0,10,25,40
0,10,25,46
1,10,25,55
1,10,25,65
0,10,34,40
0,10,34,46
0,10,34,55
0,10,34,65
0,10,40,46
0,10,40,55
0,10,40,65
0,10,46,55
0,10,46,65
0,10,55,65
0,15,25,34
1,15,25,40
1,15,25,46
1,15,25,55
1,15,25,65
0,15,34,40
0,15,34,46
0,15,34,55
0,15,34,65
0,15,40,46
0,15,40,55
1,15,40,65
0,15,46,55
0,15,46,65
0,15,55,65
0,25,34,40
0,25,34,46
1,25,34,55
1,25,34,65
0,25,40,46
1,25,40,55
0,25,40,65
0,25,46,55
0,25,46,65
0,25,55,65
1,34,40,46
1,34,40,55
1,34,40,65
1,34,46,55
1,34,46,65
0,34,55,65
1,40,46,55
1,40,46,65
1,40,55,65
1,46,55,65
1,1,5,10
1,1,5,15
1,1,5,25
1,1,5,34
1,1,5,40
1,1,5,46
1,1,5,55
1,1,5,65
0,1,10,15
0,1,10,25
1,1,10,34
1,1,10,40
0,1,10,46
1,1,10,55
1,1,10,65
0,1,15,25
0,1,15,34
1,1,15,40
0,1,15,46
0,1,15,55
1,1,15,65
0,1,25,34
0,1,25,40
0,1,25,46
0,1,25,55
0,1,25,65
0,1,34,40
0,1,34,46
0,1,34,55
0,1,34,65
0,1,40,46
0,1,40,55
0,1,40,65
0,1,46,55
0,1,46,65
0,1,55,65
1,5,10,15
1,5,10,25
1,5,10,34
1,5,10,40
1,5,10,46
1,5,10,55
1,5,10,65
0,5,15,25
1,5,15,34
1,5,15,40
1,5,15,46
1,5,15,55
1,5,15,65
0,5,25,34
0,5,25,40
0,5,25,46
0,5,25,55
1,5,25,65
0,5,34,40
0,5,34,46
0,5,34,55
0,5,34,65
0,5,40,46
0,5,40,55
0,5,40,65
0,5,46,55
0,5,46,65
0,5,55,65
0,10,15,25
1,10,15,34
1,10,15,40
1,10,15,46
1,10,15,55
1,10,15,65
0,10,25,34
0,10,25,40
1,10,25,46
0,10,25,55
1,10,25,65
0,10,34,40
0,10,34,46
0,10,34,55
1,10,34,65
0,10,40,46
0,10,40,55
0,10,40,65
0,10,46,55
0,10,46,65
0,10,55,65
1,15,25,34
1,15,25,40
1,15,25,46
1,15,25,55
1,15,25,65
0,15,34,40
0,15,34,46
0,15,34,55
0,15,34,65
0,15,40,46
1,15,40,55
0,15,40,65
0,15,46,55
0,15,46,65
0,15,55,65
0,25,34,40
1,25,34,46
0,25,34,55
1,25,34,65
0,25,40,46
1,25,40,55
1,25,40,65
0,25,46,55
0,25,46,65
0,25,55,65
1,34,40,46
1,34,40,55
1,34,40,65
0,34,46,55
1,34,46,65
0,34,55,65
1,40,46,55
1,40,46,65
0,40,55,65
0,46,55,65
0,1,5,10
1,1,5,15
1,1,5,25
1,1,5,34
1,1,5,40
1,1,5,46
1,1,5,55
1,1,5,65
0,1,10,15
1,1,10,25
0,1,10,34
1,1,10,40
1,1,10,46
1,1,10,55
1,1,10,65
0,1,15,25
0,1,15,34
0,1,15,40
0,1,15,46
0,1,15,55
0,1,15,65
0,1,25,34
0,1,25,40
0,1,25,46
0,1,25,55
0,1,25,65
0,1,34,40
0,1,34,46
0,1,34,55
0,1,34,65
0,1,40,46
0,1,40,55
0,1,40,65
0,1,46,55
0,1,46,65
0,1,55,65
1,5,10,15
0,5,10,25
1,5,10,34
1,5,10,40
1,5,10,46
1,5,10,55
1,5,10,65
0,5,15,25
0,5,15,34
1,5,15,40
1,5,15,46
1,5,15,55
1,5,15,65
0,5,25,34
0,5,25,40
0,5,25,46
1,5,25,55
0,5,25,65
0,5,34,40
0,5,34,46
0,5,34,55
0,5,34,65
0,5,40,46
0,5,40,55
0,5,40,65
0,5,46,55
0,5,46,65
0,5,55,65
1,10,15,25
1,10,15,34
1,10,15,40
1,10,15,46
1,10,15,55
1,10,15,65
0,10,25,34
0,10,25,40
0,10,25,46
1,10,25,55
1,10,25,65
0,10,34,40
0,10,34,46
0,10,34,55
0,10,34,65
0,10,40,46
0,10,40,55
0,10,40,65
0,10,46,55
0,10,46,65
0,10,55,65
1,15,25,34
0,15,25,40
1,15,25,46
0,15,25,55
1,15,25,65
0,15,34,40
0,15,34,46
0,15,34,55
0,15,34,65
0,15,40,46
0,15,40,55
1,15,40,65
0,15,46,55
0,15,46,65
0,15,55,65
0,25,34,40
1,25,34,46
0,25,34,55
1,25,34,65
0,25,40,46
1,25,40,55
1,25,40,65
0,25,46,55
0,25,46,65
0,25,55,65
0,34,40,46
1,34,40,55
1,34,40,65
0,34,46,55
1,34,46,65
0,34,55,65
1,40,46,55
1,40,46,65
1,40,55,65
0,46,55,65
